Sample No.,Swi,true RCS,CSw
 Lakota 8031.4,0.540999231,0.229500384,0.770701
Lakota 8035.4,0.58036782,0.20981609,0.787591
Hulett 8307.7,0.469720357,0.265139822,0.74372
Hulett 8325.8,0.579941705,0.210029148,0.817819
Hulett 8332.6,0.526891793,0.236554104,0.712748
Minnelusa 9366.8,0.406032502,0.296983749,0.652225
Minnelusa 9464.2,0.416358191,0.291820904,0.7476135
Minnelusa 9529.3,0.49123282,0.25438359,0.7258761
Lakota 8063,0.591989693,0.204005153,0.77327
Hulett 8330,0.521615711,0.239192144,0.766865
Minnelusa C 9487,0.409991832,0.295004084,0.681677
